filename: MC3_POPC_KBR_5_s377_sum
Qxy: 0.040A-1
detector: p100k
orientation: vertical; upper-out pixel: [1, 195]; center pixel [v h]: [4.608136e+02, 168]
 signal pixe [v h]: [4.608136e+02 146]
detector distance: 703.000000 mm
summed over +-10 pixels horizontally
pixel	tt	I	e_I	Qz
[a.u.]	[deg]	[a.u.]	[a.u.]	[A^-1]
460
1	6.4188	66	8.124	0.85811
2	6.405	56	7.4833	0.85629
3	6.3911	57	7.5498	0.85447
4	6.3773	68	8.2462	0.85264
5	6.3634	46	6.7823	0.85082
6	6.3496	59	7.6811	0.849
7	6.3358	53	7.2801	0.84717
8	6.3219	53	7.2801	0.84535
9	6.3081	46	6.7823	0.84352
10	6.2942	63	7.9373	0.8417
11	6.2804	42	6.4807	0.83987
12	6.2665	38	6.1644	0.83805
13	6.2527	60	7.746	0.83623
14	6.2388	56	7.4833	0.8344
15	6.2249	42	6.4807	0.83258
16	6.2111	53	7.2801	0.83075
17	6.1972	49	7	0.82893
18	6.1834	44	6.6332	0.8271
19	6.1695	49	7	0.82527
20	6.1557	52	7.2111	0.82345
21	6.1418	52	7.2111	0.82162
22	6.128	52	7.2111	0.8198
23	6.1141	50	7.0711	0.81797
24	6.1002	64	8	0.81614
25	6.0864	56	7.4833	0.81432
26	6.0725	52	7.2111	0.81249
27	6.0587	42	6.4807	0.81067
28	6.0448	54	7.3485	0.80884
29	6.0309	55	7.4162	0.80701
30	6.0171	60	7.746	0.80518
31	6.0032	48	6.9282	0.80336
32	5.9893	59	7.6811	0.80153
33	5.9755	63	7.9373	0.7997
34	5.9616	57	7.5498	0.79787
35	5.9477	60	7.746	0.79605
36	5.9339	48	6.9282	0.79422
37	5.92	51	7.1414	0.79239
38	5.9061	65	8.0623	0.79056
39	5.8923	56	7.4833	0.78873
40	5.8784	69	8.3066	0.78691
41	5.8645	74	8.6023	0.78508
42	5.8506	72	8.4853	0.78325
43	5.8368	47	6.8557	0.78142
44	5.8229	56	7.4833	0.77959
45	5.809	57	7.5498	0.77776
46	5.7951	66	8.124	0.77593
47	5.7813	58	7.6158	0.7741
48	5.7674	51	7.1414	0.77227
49	5.7535	63	7.9373	0.77044
50	5.7396	57	7.5498	0.76861
51	5.7258	69	8.3066	0.76678
52	5.7119	61	7.8102	0.76495
53	5.698	65	8.0623	0.76312
54	5.6841	75	8.6603	0.76129
55	5.6702	56	7.4833	0.75946
56	5.6564	62	7.874	0.75763
57	5.6425	65	8.0623	0.7558
58	5.6286	63	7.9373	0.75397
59	5.6147	62	7.874	0.75214
60	5.6008	66	8.124	0.75031
61	5.5869	61	7.8102	0.74848
62	5.5731	68	8.2462	0.74665
63	5.5592	65	8.0623	0.74481
64	5.5453	61	7.8102	0.74298
65	5.5314	67	8.1854	0.74115
66	5.5175	38	6.1644	0.73932
67	5.5036	47	6.8557	0.73749
68	5.4897	72	8.4853	0.73565
69	5.4758	57	7.5498	0.73382
70	5.4619	53	7.2801	0.73199
71	5.4481	88	9.3808	0.73016
72	5.4342	59	7.6811	0.72832
73	5.4203	75	8.6603	0.72649
74	5.4064	55	7.4162	0.72466
75	5.3925	60	7.746	0.72282
76	5.3786	54	7.3485	0.72099
77	5.3647	66	8.124	0.71916
78	5.3508	66	8.124	0.71732
79	5.3369	78	8.8318	0.71549
80	5.323	79	8.8882	0.71366
81	5.3091	59	7.6811	0.71182
82	5.2952	52	7.2111	0.70999
83	5.2813	47	6.8557	0.70816
84	5.2674	77	8.775	0.70632
85	5.2535	59	7.6811	0.70449
86	5.2396	71	8.4261	0.70265
87	5.2257	55	7.4162	0.70082
88	5.2118	45	6.7082	0.69898
89	5.1979	63	7.9373	0.69715
90	5.184	53	7.2801	0.69531
91	5.1701	70	8.3666	0.69348
92	5.1562	52	7.2111	0.69164
93	5.1423	80	8.9443	0.68981
94	5.1284	43	6.5574	0.68797
95	5.1145	59	7.6811	0.68614
96	5.1006	72	8.4853	0.6843
97	5.0866	70	8.3666	0.68247
98	5.0727	76	8.7178	0.68063
99	5.0588	62	7.874	0.67879
100	5.0449	67	8.1854	0.67696
101	5.031	75	8.6603	0.67512
102	5.0171	53	7.2801	0.67329
103	5.0032	62	7.874	0.67145
104	4.9893	68	8.2462	0.66961
105	4.9754	54	7.3485	0.66778
106	4.9615	66	8.124	0.66594
107	4.9475	58	7.6158	0.6641
108	4.9336	56	7.4833	0.66226
109	4.9197	67	8.1854	0.66043
110	4.9058	57	7.5498	0.65859
111	4.8919	66	8.124	0.65675
112	4.878	81	9	0.65492
113	4.864	55	7.4162	0.65308
114	4.8501	54	7.3485	0.65124
115	4.8362	56	7.4833	0.6494
116	4.8223	72	8.4853	0.64756
117	4.8084	76	8.7178	0.64573
118	4.7944	70	8.3666	0.64389
119	4.7805	56	7.4833	0.64205
120	4.7666	70	8.3666	0.64021
121	4.7527	67	8.1854	0.63837
122	4.7388	58	7.6158	0.63653
123	4.7248	58	7.6158	0.63469
124	4.7109	64	8	0.63286
125	4.697	54	7.3485	0.63102
126	4.6831	70	8.3666	0.62918
127	4.6691	67	8.1854	0.62734
128	4.6552	49	7	0.6255
129	4.6413	53	7.2801	0.62366
130	4.6274	70	8.3666	0.62182
131	4.6134	62	7.874	0.61998
132	4.5995	80	8.9443	0.61814
133	4.5856	49	7	0.6163
134	4.5716	64	8	0.61446
135	4.5577	72	8.4853	0.61262
136	4.5438	62	7.874	0.61078
137	4.5299	49	7	0.60894
138	4.5159	60	7.746	0.6071
139	4.502	57	7.5498	0.60526
140	4.4881	61	7.8102	0.60342
141	4.4741	68	8.2462	0.60158
142	4.4602	66	8.124	0.59974
143	4.4463	63	7.9373	0.5979
144	4.4323	73	8.544	0.59606
145	4.4184	55	7.4162	0.59421
146	4.4045	82	9.0554	0.59237
147	4.3905	66	8.124	0.59053
148	4.3766	48	6.9282	0.58869
149	4.3627	73	8.544	0.58685
150	4.3487	79	8.8882	0.58501
151	4.3348	64	8	0.58317
152	4.3208	81	9	0.58132
153	4.3069	87	9.3274	0.57948
154	4.293	94	9.6954	0.57764
155	4.279	78	8.8318	0.5758
156	4.2651	62	7.874	0.57396
157	4.2511	69	8.3066	0.57211
158	4.2372	84	9.1652	0.57027
159	4.2233	80	8.9443	0.56843
160	4.2093	87	9.3274	0.56659
161	4.1954	72	8.4853	0.56474
162	4.1814	90	9.4868	0.5629
163	4.1675	82	9.0554	0.56106
164	4.1535	95	9.7468	0.55921
165	4.1396	82	9.0554	0.55737
